"Pig","Trt","Room","Pen","Day","Dry matter, %","dm_prop","dry_matter_perc"
"25-4","C","1","30","5",21.945712462573,0.21945712462573,21.945712462573
"6-13","C","1","30","5",16.4702736429272,0.164702736429272,16.4702736429272
"29-11","D","1","31","5",7.47626499739176,0.0747626499739176,7.47626499739176
"13-6","D","1","31","5",6.65911720538638,0.0665911720538638,6.65911720538638
"26-16","D","1","31","5",8.15776335496754,0.0815776335496754,8.15776335496754
"28-13","E","1","32","5",9.5,0.095,9.5
"2-5","E","1","32","5",6.17864759754109,0.0617864759754109,6.17864759754109
"2-12","E","1","32","5",5.71093176815848,0.0571093176815848,5.71093176815848
"18-13","F","1","33","5",24.1010689990282,0.241010689990282,24.1010689990282
"3-2","F","1","33","5",25.3484942195157,0.253484942195157,25.3484942195157
"1-8","F","1","33","5",26.3659871083796,0.263659871083796,26.3659871083796
"23-12","B","1","34","5",22.1581020426857,0.221581020426857,22.1581020426857
"2-7","B","1","34","5",38.1449586494596,0.381449586494596,38.1449586494596
"25-12","B","1","34","5",24.4848796903302,0.244848796903302,24.4848796903302
"4-3","E","2","36","5",34.4608328555793,0.344608328555793,34.4608328555793
"26-17","E","2","36","5",30.6091110731957,0.306091110731957,30.6091110731957
"2-4","E","2","36","5",21.5202775362116,0.215202775362116,21.5202775362116
"11-4","D","2","37","5",30.743457266341,0.30743457266341,30.743457266341
"3-11","D","2","37","5",9.75031472933277,0.0975031472933277,9.75031472933277
"2-6","D","2","37","5",15.7928388746803,0.157928388746803,15.7928388746803
"10-5","A","2","38","5",11.2925974794122,0.112925974794122,11.2925974794122
"27-6","A","2","38","5",11.5105087409153,0.115105087409153,11.5105087409153
"16-7","A","2","38","5",17.4420255560814,0.174420255560814,17.4420255560814
"23-3","B","2","39","5",21.779954175839,0.21779954175839,21.779954175839
"1-7","B","2","39","5",19.2441936132704,0.192441936132704,19.2441936132704
"27-1","B","2","39","5",32.9267529868018,0.329267529868018,32.9267529868018
"3-3","E","2","40","5",10.9230141988549,0.109230141988549,10.9230141988549
"14-10","E","2","40","5",25.229800452205,0.25229800452205,25.229800452205
"30-2","E","2","40","5",15.6432604717965,0.156432604717965,15.6432604717965
"13-9","C","2","41","5",22.7451671661085,0.227451671661085,22.7451671661085
"26-18","C","2","41","5",17.3432286445319,0.173432286445319,17.3432286445319
"30-6","C","2","41","5",22.3368879715629,0.223368879715629,22.3368879715629
"23-2","F","2","42","5",19.8807516261142,0.198807516261142,19.8807516261142
"18-14","F","2","42","5",27.3310066399491,0.273310066399491,27.3310066399491
"11-8","F","2","42","5",15.9825980826394,0.159825980826394,15.9825980826394
"12-3","B","2","44","5",25.1127349777246,0.251127349777246,25.1127349777246
"19-15","B","2","44","5",21.8342148852916,0.218342148852916,21.8342148852916
"30-3","B","2","44","5",17.6208268048692,0.176208268048692,17.6208268048692
"7-7","A","2","45","5",10.7570405259543,0.107570405259543,10.7570405259543
"18-17","A","2","45","5",31.7379679144385,0.317379679144385,31.7379679144385
"25-2","A","2","45","5",18.6821293167041,0.186821293167041,18.6821293167041
"20-1","F","2","46","5",27.9813143965793,0.279813143965793,27.9813143965793
"30-7","F","2","46","5",12.9169375406311,0.129169375406311,12.9169375406311
